"DateTime","(W/m2) Downward Shortwave Radiation (TerraClimate) at -98.7092E,29.7839N, 1958-01-01 to 2019-12-31"
"1980-12-01",106.9
"1981-01-01",106.3
"1981-02-01",128.6
"1981-03-01",179.5
"1981-04-01",186.4
"1981-05-01",229.4
"1981-06-01",243.6
"1981-07-01",275.1
"1981-08-01",259.3
"1981-09-01",232.5
"1981-10-01",147.4
"1981-11-01",141
"1981-12-01",122.2
"1982-01-01",127.1
"1982-02-01",140.1
"1982-03-01",159.1
"1982-04-01",198.4
"1982-05-01",211.5
"1982-06-01",299.6
"1982-07-01",306.6
"1982-08-01",274.2
"1982-09-01",240.6
"1982-10-01",166.6
"1982-11-01",103.6
"1982-12-01",114.2
"1983-01-01",125.3
"1983-02-01",153
"1983-03-01",188.1
"1983-04-01",250.3
"1983-05-01",232.6
"1983-06-01",280.2
"1983-07-01",259.5
"1983-08-01",249
"1983-09-01",215.8
"1983-10-01",174.8
"1983-11-01",132.3
"1983-12-01",121.5
"1984-01-01",110.8
"1984-02-01",163.7
"1984-03-01",196.3
"1984-04-01",262.2
"1984-05-01",265.7
"1984-06-01",284.9
"1984-07-01",284
"1984-08-01",274.1
"1984-09-01",216.2
"1984-10-01",121.1
"1984-11-01",124.7
"1984-12-01",86.5
"1985-01-01",117.8
"1985-02-01",128.2
"1985-03-01",167.6
"1985-04-01",203.9
"1985-05-01",261.5
"1985-06-01",272.3
"1985-07-01",286.3
"1985-08-01",283.5
"1985-09-01",211.6
"1985-10-01",162.4
"1985-11-01",93.7
"1985-12-01",121.2
"1986-01-01",131.9
"1986-02-01",156.3
"1986-03-01",215.6
"1986-04-01",204.6
"1986-05-01",217.8
"1986-06-01",251.9
"1986-07-01",312.8
"1986-08-01",249.1
"1986-09-01",190.9
"1986-10-01",144.4
"1986-11-01",107.7
"1986-12-01",85
"1987-01-01",126.7
"1987-02-01",139.3
"1987-03-01",206.8
"1987-04-01",251.9
"1987-05-01",214.2
"1987-06-01",238.7
"1987-07-01",270.4
"1987-08-01",277
"1987-09-01",230.8
"1987-10-01",187
"1987-11-01",129.8
"1987-12-01",104.8
"1988-01-01",125.5
"1988-02-01",140.2
"1988-03-01",188.3
"1988-04-01",246.9
"1988-05-01",254.7
"1988-06-01",286.9
"1988-07-01",267.7
"1988-08-01",267
"1988-09-01",219.6
"1988-10-01",181.3
"1988-11-01",142.6
"1988-12-01",112.3
"1989-01-01",86.7
"1989-02-01",113.9
"1989-03-01",201.1
"1989-04-01",237
"1989-05-01",271
"1989-06-01",281.6
"1989-07-01",290.5
"1989-08-01",271.7
"1989-09-01",247.9
"1989-10-01",181.2
"1989-11-01",124.4
"1989-12-01",121.9
"1990-01-01",113
"1990-02-01",146.2
"1990-03-01",144.2
"1990-04-01",202.8
"1990-05-01",248
"1990-06-01",316.9
"1990-07-01",257.7
"1990-08-01",284.8
"1990-09-01",207.8
"1990-10-01",187.8
"1990-11-01",121.2
"1990-12-01",111
"1991-01-01",103.1
"1991-02-01",139.6
"1991-03-01",196.4
"1991-04-01",211.4
"1991-05-01",234.1
"1991-06-01",279.8
"1991-07-01",287.2
"1991-08-01",259.8
"1991-09-01",184
"1991-10-01",176.4
"1991-11-01",124.5
"1991-12-01",77.1
"1992-01-01",95.6
"1992-02-01",127.9
"1992-03-01",187.7
"1992-04-01",216.6
"1992-05-01",214.8
"1992-06-01",299
"1992-07-01",295.5
"1992-08-01",267.8
"1992-09-01",233.5
"1992-10-01",187.6
"1992-11-01",119.9
"1992-12-01",89.7
"1993-01-01",103
"1993-02-01",129.8
"1993-03-01",182.2
"1993-04-01",236.9
"1993-05-01",255.6
"1993-06-01",243.7
"1993-07-01",313.9
"1993-08-01",285.4
"1993-09-01",231.9
"1993-10-01",167.3
"1993-11-01",118.4
"1993-12-01",96.5
"1994-01-01",106.4
"1994-02-01",132.2
"1994-03-01",187.3
"1994-04-01",220.4
"1994-05-01",218.6
"1994-06-01",279.4
"1994-07-01",300.3
"1994-08-01",251
"1994-09-01",218.3
"1994-10-01",157.4
"1994-11-01",116.1
"1994-12-01",98
"1995-01-01",129.1
"1995-02-01",134.4
"1995-03-01",156.3
"1995-04-01",227.9
"1995-05-01",249.9
"1995-06-01",294.1
"1995-07-01",288.4
"1995-08-01",232
"1995-09-01",207
"1995-10-01",188.5
"1995-11-01",123.6
"1995-12-01",117
"1996-01-01",142.9
"1996-02-01",151.4
"1996-03-01",202.2
"1996-04-01",251.2
"1996-05-01",268.5
"1996-06-01",284.5
"1996-07-01",295.7
"1996-08-01",234.3
"1996-09-01",206.5
"1996-10-01",165.8
"1996-11-01",119
"1996-12-01",117.5
"1997-01-01",114.3
"1997-02-01",127.4
"1997-03-01",160.3
"1997-04-01",193.4
"1997-05-01",221.9
"1997-06-01",263.5
"1997-07-01",298.5
"1997-08-01",272
"1997-09-01",227.4
"1997-10-01",157.8
"1997-11-01",125.6
"1997-12-01",117
"1998-01-01",109.1
"1998-02-01",155.3
"1998-03-01",190.7
"1998-04-01",259.3
"1998-05-01",281.4
"1998-06-01",301.9
"1998-07-01",295.7
"1998-08-01",234.1
"1998-09-01",195.1
"1998-10-01",141.3
"1998-11-01",109.3
"1998-12-01",100.2
"1999-01-01",135.5
"1999-02-01",155.8
"1999-03-01",160.5
"1999-04-01",226.8
"1999-05-01",235
"1999-06-01",259.1
"1999-07-01",263.4
"1999-08-01",274.5
"1999-09-01",238.1
"1999-10-01",190.3
"1999-11-01",151.7
"1999-12-01",130.5
"2000-01-01",133.4
"2000-02-01",153
"2000-03-01",184.5
"2000-04-01",239.6
"2000-05-01",255
"2000-06-01",264.3
"2000-07-01",310.1
"2000-08-01",285.8
"2000-09-01",243.4
"2000-10-01",131
"2000-11-01",101.4
"2000-12-01",104.9
"2001-01-01",113.2
"2001-02-01",127.8
"2001-03-01",163.5
"2001-04-01",209.6
"2001-05-01",259.4
"2001-06-01",287.9
"2001-07-01",297.8
"2001-08-01",248.6
"2001-09-01",229.5
"2001-10-01",184.3
"2001-11-01",108
"2001-12-01",106.4
"2002-01-01",128.5
"2002-02-01",162.2
"2002-03-01",193
"2002-04-01",214.3
"2002-05-01",268.8
"2002-06-01",264.7
"2002-07-01",244.4
"2002-08-01",267.8
"2002-09-01",208.3
"2002-10-01",135.5
"2002-11-01",127.6
"2002-12-01",113.3
"2003-01-01",128.2
"2003-02-01",122.3
"2003-03-01",175.7
"2003-04-01",239.3
"2003-05-01",255.4
"2003-06-01",278.7
"2003-07-01",262.3
"2003-08-01",263.7
"2003-09-01",202.7
"2003-10-01",169.8
"2003-11-01",114.3
"2003-12-01",126.4
"2004-01-01",107.2
"2004-02-01",132.8
"2004-03-01",150.9
"2004-04-01",208.8
"2004-05-01",249.2
"2004-06-01",255.3
"2004-07-01",290.5
"2004-08-01",263.1
"2004-09-01",217.7
"2004-10-01",156.7
"2004-11-01",107.2
"2004-12-01",125.9
"2005-01-01",103.1
"2005-02-01",115.5
"2005-03-01",195.9
"2005-04-01",242.3
"2005-05-01",250.3
"2005-06-01",306.7
"2005-07-01",267.1
"2005-08-01",264.5
"2005-09-01",236.8
"2005-10-01",168.8
"2005-11-01",138.1
"2005-12-01",122
"2006-01-01",132.5
"2006-02-01",150.8
"2006-03-01",189.2
"2006-04-01",236.7
"2006-05-01",278.6
"2006-06-01",304.2
"2006-07-01",270.4
"2006-08-01",270.9
"2006-09-01",208.1
"2006-10-01",165.7
"2006-11-01",132.9
"2006-12-01",111.9
"2007-01-01",93.3
"2007-02-01",155.1
"2007-03-01",155
"2007-04-01",207.1
"2007-05-01",219.7
"2007-06-01",251.5
"2007-07-01",208.8
"2007-08-01",245
"2007-09-01",213.4
"2007-10-01",185.5
"2007-11-01",120.3
"2007-12-01",121.3
"2008-01-01",121
"2008-02-01",158.8
"2008-03-01",188.9
"2008-04-01",239.7
"2008-05-01",264.8
"2008-06-01",305.9
"2008-07-01",277.7
"2008-08-01",237.3
"2008-09-01",235.1
"2008-10-01",185.4
"2008-11-01",137.4
"2008-12-01",119.7
"2009-01-01",137.1
"2009-02-01",162.4
"2009-03-01",185.5
"2009-04-01",214.8
"2009-05-01",264.1
"2009-06-01",306.3
"2009-07-01",293.2
"2009-08-01",285.1
"2009-09-01",192.9
"2009-10-01",143.4
"2009-11-01",133.2
"2009-12-01",104.8
"2010-01-01",115.9
"2010-02-01",129.8
"2010-03-01",205.4
"2010-04-01",203.8
"2010-05-01",250.5
"2010-06-01",277.6
"2010-07-01",235.2
"2010-08-01",270.7
"2010-09-01",185.6
"2010-10-01",200.8
"2010-11-01",142.2
"2010-12-01",128.4
"2011-01-01",128.5
"2011-02-01",161.4
"2011-03-01",208.1
"2011-04-01",263.4
"2011-05-01",262.9
"2011-06-01",325.1
"2011-07-01",292.9
"2011-08-01",293.3
"2011-09-01",249.9
"2011-10-01",191.1
"2011-11-01",135.7
"2011-12-01",91.5
"2012-01-01",130.6
"2012-02-01",127.7
"2012-03-01",173.8
"2012-04-01",238.7
"2012-05-01",267
"2012-06-01",301
"2012-07-01",280.5
"2012-08-01",278
"2012-09-01",226
"2012-10-01",167.1
"2012-11-01",138.3
"2012-12-01",119.5
"2013-01-01",120.9
"2013-02-01",164.9
"2013-03-01",212.4
"2013-04-01",228.5
"2013-05-01",252.8
"2013-06-01",292.5
"2013-07-01",280.4
"2013-08-01",275
"2013-09-01",208.4
"2013-10-01",163.2
"2013-11-01",113.4
"2013-12-01",115.9
"2014-01-01",138.2
"2014-02-01",137.2
"2014-03-01",184.4
"2014-04-01",232.8
"2014-05-01",244.7
"2014-06-01",269.5
"2014-07-01",295.7
"2014-08-01",283.7
"2014-09-01",205.3
"2014-10-01",190.9
"2014-11-01",123.7
"2014-12-01",89.3
"2015-01-01",109.8
"2015-02-01",146.1
"2015-03-01",156.1
"2015-04-01",196.8
"2015-05-01",192
"2015-06-01",262
"2015-07-01",305.7
"2015-08-01",290.7
"2015-09-01",232.1
"2015-10-01",174.3
"2015-11-01",103.3
"2015-12-01",119.9
"2016-01-01",132.5
"2016-02-01",170.6
"2016-03-01",188.7
"2016-04-01",209.2
"2016-05-01",225.2
"2016-06-01",288
"2016-07-01",307.1
"2016-08-01",240.8
"2016-09-01",222.3
